settlement_date,england_wales_demand,item_id,embedded_solar_generation,embedded_solar_capacity,is_holiday
2021-01-01 00:00:00,26130.0,UK,0,13080,1
2021-01-01 00:30:00,26281.0,UK,0,13080,1
2021-01-01 01:00:00,25557.0,UK,0,13080,1
2021-01-01 01:30:00,24792.0,UK,0,13080,1
2021-01-01 02:00:00,23933.0,UK,0,13080,1
2021-01-01 02:30:00,23284.0,UK,0,13080,1
2021-01-01 03:00:00,22666.0,UK,0,13080,1
2021-01-01 03:30:00,22162.0,UK,0,13080,1
2021-01-01 04:00:00,21797.0,UK,0,13080,1
2021-01-01 04:30:00,21512.0,UK,0,13080,1
2021-01-01 05:00:00,21527.0,UK,0,13080,1
2021-01-01 05:30:00,21483.0,UK,0,13080,1
2021-01-01 06:00:00,22125.0,UK,0,13080,1
2021-01-01 06:30:00,22485.0,UK,0,13080,1
2021-01-01 07:00:00,23054.0,UK,0,13080,1
2021-01-01 07:30:00,23237.0,UK,0,13080,1
2021-01-01 08:00:00,23791.0,UK,2,13080,1
2021-01-01 08:30:00,24643.0,UK,43,13080,1
2021-01-01 09:00:00,25916.0,UK,198,13080,1
2021-01-01 09:30:00,27137.0,UK,344,13080,1
2021-01-01 10:00:00,28257.0,UK,514,13080,1
2021-01-01 10:30:00,29088.0,UK,714,13080,1
2021-01-01 11:00:00,29983.0,UK,932,13080,1
2021-01-01 11:30:00,30545.0,UK,1060,13080,1
2021-01-01 12:00:00,31311.0,UK,1080,13080,1
2021-01-01 12:30:00,31754.0,UK,1120,13080,1
2021-01-01 13:00:00,32008.0,UK,1060,13080,1
2021-01-01 13:30:00,31969.0,UK,974,13080,1
2021-01-01 14:00:00,32095.0,UK,771,13080,1
2021-01-01 14:30:00,32134.0,UK,467,13080,1
2021-01-01 15:00:00,32315.0,UK,177,13080,1
2021-01-01 15:30:00,32914.0,UK,37,13080,1
2021-01-01 16:00:00,34107.0,UK,2,13080,1
2021-01-01 16:30:00,35786.0,UK,0,13080,1
2021-01-01 17:00:00,36198.0,UK,0,13080,1
2021-01-01 17:30:00,36037.0,UK,0,13080,1
2021-01-01 18:00:00,35341.0,UK,0,13080,1
2021-01-01 18:30:00,34197.0,UK,0,13080,1
2021-01-01 19:00:00,33098.0,UK,0,13080,1
2021-01-01 19:30:00,31960.0,UK,0,13080,1
2021-01-01 20:00:00,30948.0,UK,0,13080,1
2021-01-01 20:30:00,30085.0,UK,0,13080,1
2021-01-01 21:00:00,29026.0,UK,0,13080,1
2021-01-01 21:30:00,28031.0,UK,0,13080,1
2021-01-01 22:00:00,27000.0,UK,0,13080,1
2021-01-01 22:30:00,25866.0,UK,0,13080,1
2021-01-01 23:00:00,24265.0,UK,0,13080,1
2021-01-01 23:30:00,23358.0,UK,0,13080,1
2021-01-02 00:00:00,23242.0,UK,0,13080,0
2021-01-02 00:30:00,23572.0,UK,0,13080,0
2021-01-02 01:00:00,23254.0,UK,0,13080,0
2021-01-02 01:30:00,22820.0,UK,0,13080,0
2021-01-02 02:00:00,22427.0,UK,0,13080,0
2021-01-02 02:30:00,21980.0,UK,0,13080,0
2021-01-02 03:00:00,21651.0,UK,0,13080,0
2021-01-02 03:30:00,21264.0,UK,0,13080,0
2021-01-02 04:00:00,20983.0,UK,0,13080,0
2021-01-02 04:30:00,20829.0,UK,0,13080,0
2021-01-02 05:00:00,21161.0,UK,0,13080,0
2021-01-02 05:30:00,21422.0,UK,0,13080,0
2021-01-02 06:00:00,22421.0,UK,0,13080,0
2021-01-02 06:30:00,23147.0,UK,0,13080,0
2021-01-02 07:00:00,24067.0,UK,0,13080,0
2021-01-02 07:30:00,24600.0,UK,0,13080,0
2021-01-02 08:00:00,25736.0,UK,5,13080,0
2021-01-02 08:30:00,27025.0,UK,230,13080,0
2021-01-02 09:00:00,28249.0,UK,808,13080,0
2021-01-02 09:30:00,29049.0,UK,1300,13080,0
2021-01-02 10:00:00,29570.0,UK,1750,13080,0
2021-01-02 10:30:00,29962.0,UK,1800,13080,0
2021-01-02 11:00:00,30224.0,UK,2080,13080,0
2021-01-02 11:30:00,30818.0,UK,2230,13080,0
2021-01-02 12:00:00,31453.0,UK,2300,13080,0
2021-01-02 12:30:00,31845.0,UK,2180,13080,0
2021-01-02 13:00:00,32374.0,UK,1820,13080,0
2021-01-02 13:30:00,32391.0,UK,1160,13080,0
2021-01-02 14:00:00,32718.0,UK,725,13080,0
2021-01-02 14:30:00,33030.0,UK,493,13080,0
2021-01-02 15:00:00,33541.0,UK,215,13080,0
2021-01-02 15:30:00,34044.0,UK,35,13080,0
2021-01-02 16:00:00,35404.0,UK,1,13080,0
2021-01-02 16:30:00,37261.0,UK,0,13080,0
2021-01-02 17:00:00,37965.0,UK,2,13080,0
2021-01-02 17:30:00,38005.0,UK,0,13080,0
2021-01-02 18:00:00,37293.0,UK,0,13080,0
2021-01-02 18:30:00,36480.0,UK,0,13080,0
2021-01-02 19:00:00,35627.0,UK,0,13080,0
2021-01-02 19:30:00,34197.0,UK,0,13080,0
2021-01-02 20:00:00,33119.0,UK,0,13080,0
2021-01-02 20:30:00,31926.0,UK,0,13080,0
2021-01-02 21:00:00,30844.0,UK,0,13080,0
2021-01-02 21:30:00,29598.0,UK,0,13080,0
2021-01-02 22:00:00,28201.0,UK,0,13080,0
2021-01-02 22:30:00,26852.0,UK,0,13080,0
2021-01-02 23:00:00,25310.0,UK,0,13080,0
2021-01-02 23:30:00,24592.0,UK,0,13080,0
2021-01-03 00:00:00,24296.0,UK,0,13080,0
2021-01-03 00:30:00,24494.0,UK,0,13080,0
2021-01-03 01:00:00,24230.0,UK,0,13080,0
2021-01-03 01:30:00,23606.0,UK,0,13080,0
2021-01-03 02:00:00,23079.0,UK,0,13080,0
2021-01-03 02:30:00,22613.0,UK,0,13080,0
2021-01-03 03:00:00,22067.0,UK,0,13080,0
2021-01-03 03:30:00,21427.0,UK,0,13080,0
2021-01-03 04:00:00,21087.0,UK,0,13080,0
2021-01-03 04:30:00,20846.0,UK,0,13080,0
2021-01-03 05:00:00,20905.0,UK,0,13080,0
2021-01-03 05:30:00,20914.0,UK,0,13080,0
2021-01-03 06:00:00,21727.0,UK,0,13080,0
2021-01-03 06:30:00,22205.0,UK,0,13080,0
2021-01-03 07:00:00,23033.0,UK,0,13080,0
2021-01-03 07:30:00,23471.0,UK,0,13080,0
2021-01-03 08:00:00,24421.0,UK,3,13080,0
2021-01-03 08:30:00,25928.0,UK,72,13080,0
2021-01-03 09:00:00,27471.0,UK,396,13080,0
2021-01-03 09:30:00,28775.0,UK,856,13080,0
2021-01-03 10:00:00,29863.0,UK,1240,13080,0
2021-01-03 10:30:00,30457.0,UK,1650,13080,0
2021-01-03 11:00:00,31010.0,UK,1800,13080,0
2021-01-03 11:30:00,31353.0,UK,1700,13080,0
2021-01-03 12:00:00,31883.0,UK,2050,13080,0
2021-01-03 12:30:00,32307.0,UK,2000,13080,0
2021-01-03 13:00:00,32340.0,UK,1940,13080,0
2021-01-03 13:30:00,32503.0,UK,1510,13080,0
2021-01-03 14:00:00,32781.0,UK,1120,13080,0
2021-01-03 14:30:00,33151.0,UK,658,13080,0
2021-01-03 15:00:00,34009.0,UK,289,13080,0
2021-01-03 15:30:00,34854.0,UK,73,13080,0
2021-01-03 16:00:00,36600.0,UK,4,13080,0
2021-01-03 16:30:00,38174.0,UK,0,13080,0
2021-01-03 17:00:00,38703.0,UK,0,13080,0
2021-01-03 17:30:00,38546.0,UK,0,13080,0
2021-01-03 18:00:00,37798.0,UK,0,13080,0
2021-01-03 18:30:00,36493.0,UK,0,13080,0
2021-01-03 19:00:00,35016.0,UK,0,13080,0
2021-01-03 19:30:00,33593.0,UK,0,13080,0
2021-01-03 20:00:00,32597.0,UK,0,13080,0
2021-01-03 20:30:00,31263.0,UK,0,13080,0
2021-01-03 21:00:00,29948.0,UK,0,13080,0
2021-01-03 21:30:00,28632.0,UK,0,13080,0
2021-01-03 22:00:00,27310.0,UK,0,13080,0
2021-01-03 22:30:00,25730.0,UK,0,13080,0
2021-01-03 23:00:00,24353.0,UK,0,13080,0
2021-01-03 23:30:00,23289.0,UK,0,13080,0
2021-01-04 00:00:00,23137.0,UK,0,13080,0
2021-01-04 00:30:00,23770.0,UK,0,13080,0
2021-01-04 01:00:00,23582.0,UK,0,13080,0
2021-01-04 01:30:00,23039.0,UK,0,13080,0
2021-01-04 02:00:00,22454.0,UK,0,13080,0
2021-01-04 02:30:00,22163.0,UK,0,13080,0
2021-01-04 03:00:00,21940.0,UK,0,13080,0
2021-01-04 03:30:00,21599.0,UK,0,13080,0
2021-01-04 04:00:00,21512.0,UK,0,13080,0
2021-01-04 04:30:00,21626.0,UK,0,13080,0
2021-01-04 05:00:00,22190.0,UK,0,13080,0
2021-01-04 05:30:00,23143.0,UK,0,13080,0
2021-01-04 06:00:00,25390.0,UK,0,13080,0
2021-01-04 06:30:00,27445.0,UK,0,13080,0
2021-01-04 07:00:00,29816.0,UK,0,13080,0
2021-01-04 07:30:00,31592.0,UK,0,13080,0
2021-01-04 08:00:00,33572.0,UK,1,13080,0
2021-01-04 08:30:00,34923.0,UK,70,13080,0
2021-01-04 09:00:00,36005.0,UK,230,13080,0
2021-01-04 09:30:00,36454.0,UK,430,13080,0
2021-01-04 10:00:00,36586.0,UK,675,13080,0
2021-01-04 10:30:00,36668.0,UK,961,13080,0
2021-01-04 11:00:00,37102.0,UK,1070,13080,0
2021-01-04 11:30:00,37148.0,UK,1130,13080,0
2021-01-04 12:00:00,37517.0,UK,1060,13080,0
2021-01-04 12:30:00,37680.0,UK,984,13080,0
2021-01-04 13:00:00,38174.0,UK,849,13080,0
2021-01-04 13:30:00,38133.0,UK,710,13080,0
2021-01-04 14:00:00,38308.0,UK,534,13080,0
2021-01-04 14:30:00,38222.0,UK,365,13080,0
2021-01-04 15:00:00,38100.0,UK,182,13080,0
2021-01-04 15:30:00,38569.0,UK,38,13080,0
2021-01-04 16:00:00,39588.0,UK,1,13080,0
2021-01-04 16:30:00,40775.0,UK,0,13080,0
2021-01-04 17:00:00,41069.0,UK,0,13080,0
2021-01-04 17:30:00,40846.0,UK,0,13080,0
2021-01-04 18:00:00,40544.0,UK,0,13080,0
2021-01-04 18:30:00,39905.0,UK,0,13080,0
2021-01-04 19:00:00,38736.0,UK,0,13080,0
2021-01-04 19:30:00,37412.0,UK,0,13080,0
2021-01-04 20:00:00,35445.0,UK,0,13080,0
2021-01-04 20:30:00,34331.0,UK,0,13080,0
2021-01-04 21:00:00,33101.0,UK,0,13080,0
2021-01-04 21:30:00,31482.0,UK,0,13080,0
2021-01-04 22:00:00,29692.0,UK,0,13080,0
2021-01-04 22:30:00,27980.0,UK,0,13080,0
2021-01-04 23:00:00,26426.0,UK,0,13080,0
2021-01-04 23:30:00,25152.0,UK,0,13080,0
2021-01-05 00:00:00,24994.0,UK,0,13080,0
2021-01-05 00:30:00,25337.0,UK,0,13080,0
2021-01-05 01:00:00,25083.0,UK,0,13080,0
2021-01-05 01:30:00,24500.0,UK,0,13080,0
2021-01-05 02:00:00,24273.0,UK,0,13080,0
2021-01-05 02:30:00,24055.0,UK,0,13080,0
2021-01-05 03:00:00,23782.0,UK,0,13080,0
2021-01-05 03:30:00,23423.0,UK,0,13080,0
2021-01-05 04:00:00,23340.0,UK,0,13080,0
2021-01-05 04:30:00,23483.0,UK,0,13080,0
2021-01-05 05:00:00,23918.0,UK,0,13080,0
2021-01-05 05:30:00,24770.0,UK,0,13080,0
2021-01-05 06:00:00,27047.0,UK,0,13080,0
2021-01-05 06:30:00,28868.0,UK,2,13080,0
