timestamp,settlement_period,electricity_demand,is_holiday,day_of_year,hour,year,temperature_C
2024-01-01 00:00:00,1,19.539,1,1,0.0,2024,4.1
2024-01-01 00:30:00,2,20.286,1,1,0.5,2024,3.4
2024-01-01 01:00:00,3,20.07,1,1,1.0,2024,3.4
2024-01-01 01:30:00,4,19.424,1,1,1.5,2024,4.4
2024-01-01 02:00:00,5,18.674,1,1,2.0,2024,2.2
2024-01-01 02:30:00,6,18.184,1,1,2.5,2024,6.2
2024-01-01 03:00:00,7,17.561,1,1,3.0,2024,0.8
2024-01-01 03:30:00,8,16.968,1,1,3.5,2024,6.3
2024-01-01 04:00:00,9,16.612,1,1,4.0,2024,4.3
2024-01-01 04:30:00,10,16.442,1,1,4.5,2024,6.2
2024-01-01 05:00:00,11,16.43,1,1,5.0,2024,5.5
2024-01-01 05:30:00,12,16.565,1,1,5.5,2024,5.8
2024-01-01 06:00:00,13,17.203,1,1,6.0,2024,6.5
2024-01-01 06:30:00,14,17.616,1,1,6.5,2024,7.2
2024-01-01 07:00:00,15,18.213,1,1,7.0,2024,5.8
2024-01-01 07:30:00,16,18.677,1,1,7.5,2024,8.1
2024-01-01 08:00:00,17,19.824,1,1,8.0,2024,5.3
2024-01-01 08:30:00,18,20.306,1,1,8.5,2024,7.1
2024-01-01 09:00:00,19,21.239,1,1,9.0,2024,8.7
2024-01-01 09:30:00,20,21.758,1,1,9.5,2024,9.1
2024-01-01 10:00:00,21,22.359,1,1,10.0,2024,8.5
2024-01-01 10:30:00,22,22.683,1,1,10.5,2024,7.4
2024-01-01 11:00:00,23,23.632,1,1,11.0,2024,9.4
2024-01-01 11:30:00,24,24.317,1,1,11.5,2024,7.1
2024-01-01 12:00:00,25,25.408,1,1,12.0,2024,10.8
2024-01-01 12:30:00,26,26.24,1,1,12.5,2024,8.0
2024-01-01 13:00:00,27,26.831,1,1,13.0,2024,5.7
2024-01-01 13:30:00,28,27.443,1,1,13.5,2024,6.2
2024-01-01 14:00:00,29,27.668,1,1,14.0,2024,7.9
2024-01-01 14:30:00,30,28.18,1,1,14.5,2024,7.8
2024-01-01 15:00:00,31,28.907,1,1,15.0,2024,10.4
2024-01-01 15:30:00,32,29.557,1,1,15.5,2024,5.6
2024-01-01 16:00:00,33,30.682,1,1,16.0,2024,6.9
2024-01-01 16:30:00,34,31.679,1,1,16.5,2024,5.0
2024-01-01 17:00:00,35,31.786,1,1,17.0,2024,5.5
2024-01-01 17:30:00,36,31.533,1,1,17.5,2024,8.5
2024-01-01 18:00:00,37,30.891,1,1,18.0,2024,3.9
2024-01-01 18:30:00,38,30.128,1,1,18.5,2024,6.2
2024-01-01 19:00:00,39,29.302,1,1,19.0,2024,5.6
2024-01-01 19:30:00,40,28.321,1,1,19.5,2024,4.6
2024-01-01 20:00:00,41,26.661,1,1,20.0,2024,5.2
2024-01-01 20:30:00,42,25.74,1,1,20.5,2024,2.4
2024-01-01 21:00:00,43,24.362,1,1,21.0,2024,6.3
2024-01-01 21:30:00,44,23.296,1,1,21.5,2024,6.5
2024-01-01 22:00:00,45,22.053,1,1,22.0,2024,3.5
2024-01-01 22:30:00,46,20.978,1,1,22.5,2024,7.0
2024-01-01 23:00:00,47,19.64,1,1,23.0,2024,2.6
2024-01-01 23:30:00,48,18.907,1,1,23.5,2024,3.8
